MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39680;Wholesome Christian Family;8887;Smudged Pumas;9112;koth_coalplant_b7;2014-02-17 00:00:00;157213;koth_coalplant_b7;1;348;15456;56;9455;33;1;0;0;348
39680;Wholesome Christian Family;8887;Smudged Pumas;9112;koth_coalplant_b7;2014-02-17 00:00:00;157117;koth_coalplant_b7;3;925;23572;78;34534;136;0;3;1|1|1;229|404|292
39683;Gentlemen's Club;9293;The Electric Temptations;5527;koth_coalplant_b7;2014-02-17 00:00:00;157234;koth_coalplant_b7;1;298;10837;29;12393;41;0;1;1;298
39683;Gentlemen's Club;9293;The Electric Temptations;5527;koth_coalplant_b7;2014-02-17 00:00:00;157204;koth_coalplant_b7;3;1001;35568;100;39357;125;0;3;1|1|1;274|404|323
39683;Gentlemen's Club;9293;The Electric Temptations;5527;koth_coalplant_b7;2014-02-17 00:00:00;157146;koth_coalplant_b7;3;976;39637;145;35115;80;3;0;0|0|0;229|350|397
39686;Dead Ringer Storage;8004;Unbelievably Brave Sweethearts;3116;koth_coalplant_b7;2014-02-17 00:00:00;159647;koth_coalplant_b7;1;600;10752;39;8887;23;1;0;0;600
39687;Blunderful;3357;MURDERFORCE9000;3362;koth_coalplant_b7;2014-02-17 00:00:00;157148;koth_coalplant_b7;1;395;15067;42;14954;42;1;0;0;395
39687;Blunderful;3357;MURDERFORCE9000;3362;koth_coalplant_b7;2014-02-17 00:00:00;157077;koth_coalplant_b7;3;1000;34470;110;34106;96;3;0;0|0|0;318|275|407
39689;Universal $ Assocation;9134;Cuties;5064;koth_coalplant_b7;2014-02-17 00:00:00;157214;koth_coalplant_b7;1;365;13095;38;12914;32;1;0;0;365
39689;Universal $ Assocation;9134;Cuties;5064;koth_coalplant_b7;2014-02-17 00:00:00;157141;koth_coalplant_b7;4;1374;46317;139;48347;138;1;3;1|0|1|1;293|405|349|327
39690;Roll the Chat;3924;Murphy and ya bois;8901;koth_coalplant_b7;2014-02-17 00:00:00;157125;koth_coalplant_b7;1;218;4422;8;7683;33;0;1;1;218
39690;Roll the Chat;3924;Murphy and ya bois;8901;koth_coalplant_b7;2014-02-17 00:00:00;157089;koth_coalplant_b7;3;673;25041;115;14921;27;3;0;0|0|0;217|236|220
39691;SPACEBEARS;9091;Scifi Channel Originals;7818;koth_coalplant_b7;2014-02-17 00:00:00;157100;koth_coalplant_b7;4;1189;45020;160;38514;116;3;1;0|0|1|0;283|227|326|353
39694;The Coloured Pylons;6890;Secondhand Mercenaries;5049;koth_coalplant_b7;2014-02-17 00:00:00;157167;koth_coalplant_b7;4;1408;56215;208;42258;133;3;1;0|0|1|0;352|391|432|233
39694;The Coloured Pylons;6890;Secondhand Mercenaries;5049;koth_coalplant_b7;2014-02-17 00:00:00;157110;koth_coalplant_b7;1;354;14618;45;10901;30;1;0;0;354
39695;Catgirl Café (with Purrfect Portions);8943;Poon Platoon;8848;koth_coalplant_b7;2014-02-17 00:00:00;157091;koth_coalplant_b7;3;1108;31482;89;40258;152;0;3;1|1|1;383|362|363
39697;Praise The Sun;10285;GOT GO U DJINN WAIFUS;5623;koth_coalplant_b7;2014-02-17 00:00:00;157193;koth_coalplant_b7;1;357;8505;29;11880;45;0;1;1;357
39697;Praise The Sun;10285;GOT GO U DJINN WAIFUS;5623;koth_coalplant_b7;2014-02-17 00:00:00;157126;koth_coalplant_b7;3;1025;32837;134;29703;99;3;0;0|0|0;328|350|347
39698;Nice Weather for Ducks;7942;Fast Company HL;7257;koth_coalplant_b7;2014-02-17 00:00:00;157206;koth_coalplant_b7;1;384;12712;38;12603;47;0;1;1;384
39700;Disingenuous Assertions;7797;Minh Advantage II;10127;koth_coalplant_b7;2014-02-17 00:00:00;157140;koth_coalplant_b7;3;1243;38797;144;38973;131;1;2;1|1|0;379|426|438
39700;Disingenuous Assertions;7797;Minh Advantage II;10127;koth_coalplant_b7;2014-02-17 00:00:00;157063;koth_coalplant_b7;3;1102;30984;108;36887;149;0;3;1|1|1;375|407|320
39701;The Unusual Suspects;9485;PENCILS;7921;koth_coalplant_b7;2014-02-17 00:00:00;157215;koth_coalplant_b7;2;680;21614;57;22716;81;1;1;0|1;325|355
39701;The Unusual Suspects;9485;PENCILS;7921;koth_coalplant_b7;2014-02-17 00:00:00;157129;koth_coalplant_b7;3;1311;42638;150;35765;93;3;0;0|0|0;401|419|491
39707;0.2%;9493;No Kids Here! 9ers;9225;koth_coalplant_b7;2014-02-17 00:00:00;156668;koth_coalplant_b7;2;786;24479;78;26197;82;0;2;1|1;349|437
39707;0.2%;9493;No Kids Here! 9ers;9225;koth_coalplant_b7;2014-02-17 00:00:00;156659;koth_coalplant_b7;5;1876;64179;192;64575;235;2;3;1|1|0|0|1;271|441|405|349|410
39710;Tactical and Equipped Killers;8967;swag swag yolo;9232;koth_coalplant_b7;2014-02-17 00:00:00;156667;koth_coalplant_b7;1;412;14131;54;14627;58;0;1;1;412
39710;Tactical and Equipped Killers;8967;swag swag yolo;9232;koth_coalplant_b7;2014-02-17 00:00:00;156660;koth_coalplant_b7;5;1925;56689;194;59107;222;2;3;1|0|0|1|1;403|452|291|408|371
39712;Roostlander;6966;Team Interrobang;6038;koth_coalplant_b7;2014-02-17 00:00:00;157132;koth_coalplant_b7;1;430;14196;59;15941;66;0;1;1;430
39712;Roostlander;6966;Team Interrobang;6038;koth_coalplant_b7;2014-02-17 00:00:00;157054;koth_coalplant_b7;4;1358;45758;187;47875;169;1;3;1|1|0|1;365|270|410|313
39714;Royal Flush;9501;WulfPack;8323;koth_coalplant_b7;2014-02-17 00:00:00;156661;koth_coalplant_b7;3;915;17307;63;16154;56;3;0;0|0|0;413|220|282
39714;Royal Flush;9501;WulfPack;8323;koth_coalplant_b7;2014-02-17 00:00:00;156654;koth_coalplant_b7;3;1216;36326;118;43643;146;0;3;1|1|1;348|426|442
39722;Simply Beige;10275;Pubstrat;9001;koth_coalplant_b7;2014-02-17 00:00:00;156663;koth_coalplant_b7;1;278;6124;22;11544;41;0;1;1;278
39722;Simply Beige;10275;Pubstrat;9001;koth_coalplant_b7;2014-02-17 00:00:00;156657;koth_coalplant_b7;3;1207;27870;79;35360;125;0;3;1|1|1;579|382|246
39723;High Kings;8844;HangLow;10091;koth_coalplant_b7;2014-02-17 00:00:00;157105;koth_coalplant_b7;3;1694;29313;97;28124;105;0;3;1|1|1;1181|263|250
39726;Having A Time;9369;T.U.N.A | Tough Unified North Americans;10063;koth_coalplant_b7;2014-02-17 00:00:00;157223;koth_coalplant_b7;1;317;10194;36;7326;24;1;0;0;317
39726;Having A Time;9369;T.U.N.A | Tough Unified North Americans;10063;koth_coalplant_b7;2014-02-17 00:00:00;157189;koth_coalplant_b7;3;742;13684;46;25198;92;0;3;1|1|1;232|271|239
39732;beached as;10367;Spicy Wizards;8998;koth_coalplant_b7;2014-02-17 00:00:00;160595;koth_coalplant_b7;1;413;13725;54;15108;59;0;1;1;413
39732;beached as;10367;Spicy Wizards;8998;koth_coalplant_b7;2014-02-17 00:00:00;160588;koth_coalplant_b7;5;1750;59319;204;67131;225;2;3;1|0|1|0|1;267|343|352|372|416
